PK_LocationId,Location,Preposition,LocationWASId,ParentLevel,Weight,Map,Order,Status,Latitude,Longitude,polygonVertex,majorLocation
5801146,LA CONSOLATA,'',5801146,5800103,0,0,0,2,10.37687,-75.481425,'',NULL
5801147,VILLA RUBIA,'',5801147,5800103,0,0,0,2,10.376549,-75.478968,'',NULL
5801148,JORGE ELIECER GAITAN,'',5801148,5800103,0,0,0,2,10.377462,-75.4776,'',NULL
5801149,LA FLORIDA,'',5801149,5800103,0,0,0,2,10.374874,-75.47679,'',NULL
5801150,SIMON BOLIVAR,'',5801150,5800103,0,0,0,2,10.374389,-75.474532,'',NULL
5801151,VEINTE DE JULIO SUR,'',5801151,5800103,0,0,0,2,10.373542,-75.498779,'',NULL
5801152,NELSON MANDELA - AMANZANADO,'',5801152,5800103,0,0,0,2,10.371144,-75.470294,'',NULL
5801153,CESAR FLORES,'',5801153,5800103,0,0,0,2,10.375568,-75.478249,'',NULL
5801154,VILLA ROSA,'',5801154,5800103,0,0,0,2,10.370999,-75.495485,'',NULL
5801155,EL REPOSO,'',5801155,5800103,0,0,0,2,10.373321,-75.487996,'',NULL
5801156,EL EDUCADOR,'',5801156,5800103,0,0,0,2,10.373574,-75.483242,'',NULL
5801157,ROSSENDAL,'',5801157,5800103,0,0,0,2,10.373647,-75.481406,'',NULL
5801158,MARIA CANO,'',5801158,5800103,0,0,0,2,10.373296,-75.480363,'',NULL
5801159,NUEVA DELHI,'',5801159,5800103,0,0,0,2,10.372707,-75.479191,'',NULL
5801160,CAMILO TORRES,'',5801160,5800103,0,0,0,2,10.372763,-75.478195,'',NULL
5801161,ANTONIO JOSE DE SUCRE,'',5801161,5800103,0,0,0,2,10.371673,-75.497447,'',NULL
5801162,ALBORNOZ,'',5801162,5800103,0,0,0,2,10.370098,-75.508112,'',NULL
5801163,LA ESMERALDA I,'',5801163,5800103,0,0,0,2,10.370977,-75.482436,'',NULL
5801164,LOS SANTANDERES,'',5801164,5800103,0,0,0,2,10.370438,-75.480607,'',NULL
5801165,EL LIBERTADOR,'',5801165,5800103,0,0,0,2,10.370338,-75.501799,'',NULL
5801166,BAYAO,'',5801166,5800103,0,0,0,2,10.369494,-75.479582,'',NULL
5801167,NUEVA JERUSALEN,'',5801167,5800103,0,0,0,2,10.369173,-75.478367,'',NULL
5801168,LA SIERRITA,'',5801168,5800103,0,0,0,2,10.369515,-75.475653,'',NULL
5801169,SECTORES UNIDOS,'',5801169,5800103,0,0,0,2,10.368812,-75.482237,'',NULL
5801170,JAIME PARDO LEAL,'',5801170,5800103,0,0,0,2,10.369615,-75.485451,'',NULL
5801171,VILLA BARRAZA,'',5801171,5800103,0,0,0,2,10.369155,-75.504537,'',NULL
5801172,LA QUINTA,'',5801172,5800102,0,0,0,2,10.419043,-75.528386,'',NULL
5801173,PARAISO,'',5801173,5800102,0,0,0,2,10.416225,-75.524496,'',NULL
5801174,SAN BERNARDO,'',5801174,5800101,0,0,0,2,10.428606,-75.520355,'',NULL
5801175,CERRO DE LA POPA,'',5801175,5800101,0,0,0,2,10.424044,-75.525162,'',NULL
5801176,MEDELLIN,'',5801176,5800103,0,0,0,2,10.380733,-75.47309,'',NULL
5801177,BELLAVISTA,'',5801177,5800103,0,0,0,2,10.372535,-75.503052,'',NULL
5801178,SANTA CLARA,'',5801178,5800103,0,0,0,2,10.382904,-75.504379,'',NULL
5801179,MAMONAL,'',5801179,5800103,0,0,0,2,10.378862,-75.506453,'',NULL
5801180,BICENTENARIO,'',5801180,5800102,0,0,0,2,10.422402,-75.449085,'',NULL
5801181,VILLAS DE ARANJUEZ,'',5801181,5800102,0,0,0,2,10.419985,-75.443727,'',NULL
5801182,NELSON MANDELA - LA PRIMAVERA,'',5801182,5800103,0,0,0,2,10.36727,-75.475934,'',NULL
5801183,VILLA FANY,'',5801183,5800103,0,0,0,2,10.367869,-75.478515,'',NULL
5801184,NELSON MANDELA - 18 DE ENERO,'',5801184,5800103,0,0,0,2,10.366374,-75.480315,'',NULL
5801185,NELSON MANDELA - CONQUISTA I,'',5801185,5800103,0,0,0,2,10.365816,-75.482206,'',NULL
5801186,NELSON MANDELA - CONQUISTA II,'',5801186,5800103,0,0,0,2,10.364889,-75.478861,'',NULL
5801187,NELSON MANDELA - LOS OLIVOS,'',5801187,5800103,0,0,0,2,10.364244,-75.481587,'',NULL
5801188,NELSON MANDELA - LAS VEGAS,'',5801188,5800103,0,0,0,2,10.362932,-75.476582,'',NULL
5801189,NELSON MANDELA - F DE PAULA II,'',5801189,5800103,0,0,0,2,10.361617,-75.480083,'',NULL
5801190,VILLA HERMOSA,'',5801190,5800103,0,0,0,2,10.357203,-75.485866,'',NULL
5801191,VILLA HERMOSA SC 24 JUNIO,'',5801191,5800103,0,0,0,2,10.358422,-75.483419,'',NULL
5801192,VILLA VALENTINA,'',5801192,5800103,0,0,0,2,10.357995,-75.482081,'',NULL
5801193,ARROZ BARATO,'',5801193,5800103,0,0,0,2,10.356578,-75.490817,'',NULL
5801194,VILLA HERMOSA SC CENTRAL II,'',5801194,5800103,0,0,0,2,10.356868,-75.484727,'',NULL
5801195,SC CENTRAL I,'',5801195,5800103,0,0,0,2,10.35642,-75.483308,'',NULL
5801196,PUERTA DE HIERRO,'',5801196,5800103,0,0,0,2,10.355966,-75.501384,'',NULL
5801197,VILLA HERMOSA SC LA UNION,'',5801197,5800103,0,0,0,2,10.355007,-75.485384,'',NULL
5801198,VILLA HERMOSA SC EL CARMEN,'',5801198,5800103,0,0,0,2,10.353338,-75.486918,'',NULL
5801199,POLICARPA,'',5801199,5800103,0,0,0,2,10.346401,-75.490978,'',NULL
5801200,VALPARAISO,'',5801200,5800103,0,0,0,2,10.373773,-75.491656,'',NULL
5801201,ESPAÑOLA,'',5801201,5800101,0,0,0,2,10.425727,-75.536628,'',NULL
5801202,MANGA,'',5801202,5800101,0,0,0,2,10.413327,-75.534143,'',NULL
5801203,SAN PEDRO MARTIR,'',5801203,5800103,0,0,0,2,10.373011,-75.4886,'',NULL
5801204,LA INDIA,'',5801204,5800102,0,0,0,2,10.412825,-75.447182,'',NULL
5801205,CASTILLO GRANDE,'',5801205,5800101,0,0,0,2,10.393319,-75.550699,'',NULL
5801206,BOCA GRANDE,'',5801206,5800101,0,0,0,2,10.407352,-75.553213,'',NULL
5801207,TORICES,'',5801207,5800101,0,0,0,2,10.430386,-75.531212,'',NULL
